id,host_id,neighbourhood,property_type,room_type,accommodates,price,minimum_nights,maximum_nights,bedrooms,beds,cancellation_policy,number_of_reviews,review_scores_accuracy
35797,153786,5,37,1,2,225,1,7,1.0,1.0,flexible,0,
56074,265650,6,15,1,3,42,4,150,1.0,2.0,moderate,60,10.0
61792,299558,6,26,3,2,68,2,21,1.0,1.0,moderate,52,10.0
70644,212109,4,2,1,2,62,6,180,1.0,1.0,moderate,102,10.0
107078,540705,11,29,1,2,243,4,365,1.0,1.0,strict_14_with_grace_period,10,10.0
131610,647454,4,31,3,2,93,1,730,1.0,1.0,flexible,0,
165772,790208,11,26,1,14,62,2,365,4.0,10.0,strict_14_with_grace_period,266,10.0
171109,816295,3,2,3,2,15,4,21,1.0,0.0,strict_14_with_grace_period,70,10.0
180808,36836,6,29,1,2,61,3,365,1.0,1.0,strict_14_with_grace_period,35,10.0
187030,899360,6,2,1,6,66,3,365,2.0,3.0,moderate,97,10.0
187745,899360,6,29,1,3,108,2,365,1.0,2.0,moderate,24,9.0
194937,899360,6,2,1,3,70,5,365,1.0,1.0,moderate,64,9.0
198778,970609,6,2,1,4,54,2,365,2.0,4.0,strict_14_with_grace_period,169,9.0
204887,998053,11,2,1,2,40,3,180,1.0,1.0,moderate,26,9.0
217685,184410,6,2,1,2,31,7,670,1.0,2.0,flexible,7,10.0
246057,1288063,6,2,1,5,85,1,30,2.0,4.0,flexible,247,10.0
247543,1297488,6,2,3,1,34,3,30,1.0,1.0,strict_14_with_grace_period,80,10.0
252618,1326107,6,2,3,2,16,5,1825,1.0,2.0,strict_14_with_grace_period,16,9.0
255354,855066,2,2,3,3,38,1,365,1.0,1.0,flexible,10,10.0
256555,790208,11,26,1,14,62,2,365,4.0,10.0,strict_14_with_grace_period,264,10.0
261897,1373924,6,2,1,3,70,2,1125,1.0,1.0,moderate,352,10.0
271048,1417206,11,2,1,2,101,5,365,2.0,1.0,strict_14_with_grace_period,13,10.0
276504,1444589,8,2,1,2,113,7,365,,1.0,flexible,0,
281134,196253,6,33,2,3,163,1,365,1.0,2.0,strict_14_with_grace_period,7,9.0
287940,1497087,6,22,1,2,57,1,1125,1.0,1.0,flexible,292,10.0
291804,1511568,3,2,3,1,34,2,14,1.0,1.0,flexible,0,
298873,1539548,6,2,1,4,108,3,180,2.0,2.0,moderate,120,10.0
312773,1608293,3,2,1,4,79,3,180,2.0,3.0,moderate,35,10.0
323030,970609,6,2,1,4,54,2,1125,2.0,3.0,strict_14_with_grace_period,176,10.0
324769,1661848,11,2,1,6,34,2,365,2.0,3.0,flexible,35,10.0
325812,1666388,6,2,3,2,38,3,10,1.0,1.0,flexible,106,10.0
326296,1664327,4,26,3,2,23,2,160,1.0,1.0,flexible,188,10.0
326475,1670032,6,2,1,4,40,7,31,2.0,2.0,strict_14_with_grace_period,95,10.0
326865,1671446,14,26,3,1,14,3,365,1.0,1.0,strict_14_with_grace_period,30,10.0
326885,1671446,14,26,3,1,14,3,360,1.0,1.0,strict_14_with_grace_period,21,10.0
329532,1681966,6,26,3,2,23,22,1125,1.0,2.0,strict_14_with_grace_period,0,
329776,1683373,14,26,3,2,22,2,1125,1.0,0.0,flexible,15,10.0
331788,1691633,6,2,1,2,87,3,1125,1.0,1.0,strict_14_with_grace_period,337,10.0
341479,1732353,3,2,1,3,26,1,1125,2.0,2.0,flexible,0,
347754,1762542,4,26,3,2,45,1,1125,1.0,,flexible,0,
350079,1773936,6,2,3,1,62,5,180,1.0,1.0,strict_14_with_grace_period,0,
357324,1808252,11,26,3,2,112,1,1125,1.0,1.0,flexible,0,
358441,1814320,3,2,1,4,42,3,1125,1.0,1.0,strict_14_with_grace_period,11,10.0
362583,1832239,6,2,1,4,77,2,1125,2.0,2.0,strict_14_with_grace_period,18,10.0
370092,618769,6,29,1,4,32,1,20,0.0,2.0,strict_14_with_grace_period,293,9.0
375032,1886913,6,4,3,16,68,1,14,6.0,13.0,strict_14_with_grace_period,45,9.0
382712,1918084,2,2,3,2,35,1,7,1.0,1.0,flexible,0,
382904,1915348,3,2,4,1,57,1,1125,1.0,1.0,flexible,0,
386265,1933252,4,2,3,2,15,3,365,1.0,1.0,moderate,9,9.0
394589,931849,6,2,3,1,17,90,360,1.0,1.0,flexible,23,10.0
395446,899360,6,15,1,2,117,3,1125,1.0,1.0,moderate,12,10.0
397408,1964369,11,2,1,3,54,2,30,2.0,3.0,moderate,161,10.0
400047,1905087,6,15,1,2,85,1,1125,1.0,1.0,strict_14_with_grace_period,9,10.0
422159,2099653,3,29,3,2,20,3,180,1.0,1.0,flexible,8,10.0
454077,2256144,6,2,3,1,28,1,1125,1.0,1.0,flexible,2,2.0
454693,1601561,6,2,1,4,68,1,1125,1.0,2.0,strict_14_with_grace_period,221,10.0
456242,1767559,10,26,3,1,45,3,90,1.0,1.0,moderate,2,10.0
456409,2269083,11,2,3,1,11,2,360,1.0,1.0,strict_14_with_grace_period,44,9.0
456461,2269083,11,2,4,1,19,2,180,1.0,1.0,strict_14_with_grace_period,61,10.0
457700,2275010,11,22,3,2,57,3,1125,0.0,2.0,strict_14_with_grace_period,4,10.0
458808,2281290,6,2,1,2,25,7,1125,1.0,2.0,flexible,9,9.0
486913,2409917,6,2,1,2,29,2,600,1.0,2.0,moderate,22,10.0
489774,2415111,11,2,1,6,108,4,1125,2.0,3.0,moderate,43,9.0
